Region,salairemoyen
Ile-de-France,18.4
Centre-Val de Loire,13.4
Bourgogne-Franche-Comte,12.9
Normandie,13.3
Hauts-de-France,13.4
Grand Est,13.3
Pays de la Loire,13.1
Bretagne,12.9
Nouvelle-Aquitaine,13.1
Guadeloupe,13.8
Martinique,13.7
Guyane,14.5
Reunion,12.8
Mayotte,null
Occitanie,13.6
Auvergne-Rhone-Alpes,14.1
Provence-Alpes-Cote d'Azur,14.0
Corse,12.6
